# fFractionHospitalized, fDayOffset, fInfectionProbabilityPerEncounter, fTei, fTer
# 0.003771729832341777 -2 0.008989099665394107 2.888 10.056
# Tei/r = days from exposure to infectious/recovered
# Day 0 = 2020-01-23
# Day Susceptible Exposed Infectious Recovered Fit Data
 168 37984400.782596864 1957.1717655460225 3491.7192797003236 10150.326357913298 13.169821773408652 0
 169 37983760.58977711 2037.0136466823915 3634.1788334483317 10568.217742778745 13.70714072218211 0
 170 37983094.290231995 2120.1032639242953 3782.436976695142 11003.169527404698 14.266330383953706 0
 171 37982400.82234535 2206.572243002056 3936.7290296151323 11455.87638205001 14.848278322845289 0
 172 37981679.08150281 2296.5575040312588 4097.299803736206 11927.061189444876 15.453907901799955 0
 173 37980927.91836455 2390.20147111622 4264.403979885672 12417.476184470295 16.084179708091792 0
 174 37980146.1370699 2487.6522899708043 4438.306500777948 12927.904139367209 16.740093034060628 0
 175 37979332.49337115 2589.064053839475 4619.282978776891 13459.159596251644 17.422687415081384 0
 176 37978485.69269385 2694.597038009382 4807.620119381976 14012.090148777888 18.133044226839534 0
 177 37977604.38812094 2804.4179432122196 5003.616161004186 14587.577774859563 18.872288344046925 0
 178 37976687.17829775 2918.700148222547 5207.581331614342 15186.540222428463 19.64158986279593 1
 179 37975732.6052549 3037.6239719671753 5419.838322863663 15809.932450283231 20.4421658888141 1
 180 37974739.1521461 3161.376945468117 5640.722782293523 16458.74812615439 21.27528239394639 1
 181 37973705.24089761 3290.154093949384 5870.583824268669 17134.02118418896 22.142256143257214 1
 182 37972629.22976615 3424.1582294456107 6109.784560285553 17836.827444136932 23.044456695210204 1
 183 37971509.410801835 3563.600254258007 6358.702649324799 18568.28629460316 23.983308477449036 1
 184 37970344.00721266 3708.6994756104823 6617.730868934179 19329.56244281205 24.960292940768113 1
 185 37969131.17062699 3859.683931865873 6887.277707745745 20121.86773341836 25.976950793927116 1
 186 37967868.97825022 4016.7907306690036 7167.7679801478225 20946.46303898598 27.034884322027704 2
 187 37966555.429911934 4180.266399389743 7459.643463849439 21804.66022484738 28.13575979123428 2
 188 37965188.44499953 4350.367248245247 7763.363561091288 22697.824191149575 29.2813099426831 2
 189 37963765.85927427 4527.359746486104 8079.405984273406 23627.3749949882 30.47333657848468 2
 190 37962285.42156556 4711.520912036078 8408.267466785368 24594.790055629062 31.713713242783193 3
 191 37960744.790339276 4903.138714979429 8750.464499839707 25601.60644591698 33.00438800089309 3
 192 37959141.53013552 5102.512495293406 9106.5340961235 26649.42327307422 34.34738631958656 3
 193 37957473.107871495 5309.953395226195 9477.034581096304 27739.904152195664 35.74481405165559 4
 194 37955736.88900466 5525.784806722412 9862.546412774907 28874.779775854815 37.19886052791849 4
 195 37953930.133551516 5750.342834298892 10263.673030856347 30055.850583343843 38.711801759882626 4
 196 37952049.99195702 5983.976773773055 10681.041736040304 31284.989533181946 40.28600375631082 5
 197 37950093.50080971 6227.04960724426 11115.304600419955 32564.144982639198 41.92392595696974 5
 198 37948057.57839733 6479.93851472517 11567.139409816607 33895.3436781378 43.628124786861555 6
 199 37945939.020097755 6743.035402815165 12037.25063893757 35280.693860508894 45.401257334255945 7
 200 37943734.49359978 7016.74745080092 12526.370460238531 36722.38848920082 47.24608515584646 7
 201 37941440.53394844 7301.497674560313 13035.25978737094 38222.708589653455 49.1654782123521 8
 202 37939053.53840912 7597.7255086346495 13564.709354091208 39784.02672817328 51.162418937871365 9
 203 37936569.761144936 7905.887406820442 14115.540829501599 41408.810618764226 53.24000644626957 9
 204 37933985.30770143 8226.457461615522 14688.607970482117 43099.62686649025 55.4014608778406 10
 205 37931296.12929296 8559.928042834777 15284.79781215817 44859.144852066675 57.650127889429285 11
 206 37928498.0168846 8906.810455687986 15905.031897229763 46690.140762497744 59.98948329112903 12
 207 37925586.59506377 9267.635618585777 16550.267544964074 48595.50177269798 62.423137832578895 13
 208 37922557.31569533 9642.954760909313 17221.499160623967 50578.2303831533 64.9548421417743 14
 209 37919405.451354206 10033.340140944556 17919.759586069722 52641.44891879481 67.5884918191717 16
 210 37916126.08852927 10439.385784142438 18646.121492229453 54788.404194372786 70.328132689711 17
 211 37912714.12059238 10861.708241821645 19401.69881408474 57022.47235172971 73.17796621519348 19
 212 37909164.24052639 11300.94737038045 20187.64822876108 59347.16387447918 76.1423550692398 20
 213 37905470.93340604 11757.767131027633 21005.170677247454 61766.12878570074 79.22582887680494 22
 214 37901628.468625486 12232.856409979602 21855.512930194298 64283.16203435868 82.43309011994528 24
 215 37897630.89186662 12726.92985900065 22739.969198154322 66902.2090762444 85.76902021121177 26
 216 37893472.01680207 13240.728756085364 23659.882786534163 69627.37165532642 89.23868573568059 28
 217 37889145.41652714 13775.021885995908 24616.64779541668 72462.91379146781 92.84734486222352 30
 218 37884644.41471492 14330.606440271486 25611.71086429201 75413.2679805367 96.60045392416217 32
 219 37879962.0764892 14908.308936222156 26646.572961599686 78483.04161299103 100.50367416893731 35
