pruid,prname,prnameFR,date,reporting_week,reporting_year,update,totalcases,numtotal_last7,ratecases_total,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
60,Yukon,Yukon,2023-04-08,14,2023,0.0,4989,,11393.27,32,,73.08,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2023-04-08,14,2023,0.0,11511,,25240.65,22,,48.24,,,,,,,,,,
62,Nunavut,Nunavut,2023-04-08,14,2023,0.0,3531,,8712.93,7,,17.27,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2023-04-08,14,2023,,13,0.0,,0,0,,,,0.0,0,,,0.0,,0.00,
1,Canada,Canada,2023-04-08,14,2023,,4648953,6300.0,11941.86,52629,146,135.19,16.18,0.38,13396.0,295,34.41,0.76,900.0,2.31,20.86,0.05
59,British Columbia,Colombie-Britannique,2023-04-15,15,2023,1.0,399494,519.0,7510.24,5430,19,102.08,9.76,0.36,984.0,59,18.5,1.11,74.14,1.39,2.71,0.05
48,Alberta,Alberta,2023-04-15,15,2023,1.0,631511,305.0,13900.41,5684,10,125.11,6.71,0.22,649.0,32,14.29,0.7,43.57,0.96,1.43,0.03
47,Saskatchewan,Saskatchewan,2023-04-15,15,2023,1.0,155190,208.0,12988.75,1959,3,163.96,17.41,0.25,378.0,9,31.64,0.75,29.71,2.49,0.43,0.04
46,Manitoba,Manitoba,2023-04-15,15,2023,1.0,155725,172.0,11050.42,2483,13,176.2,12.21,0.92,304.0,13,21.57,0.92,24.57,1.74,1.86,0.13
35,Ontario,Ontario,2023-04-15,15,2023,1.0,1613572,2262.0,10679.25,17055,33,112.88,14.97,0.22,4413.0,67,29.21,0.44,323.14,2.14,4.71,0.03
24,Quebec,Québec,2023-04-15,15,2023,1.0,1334563,2690.0,15347.46,17924,29,206.13,30.93,0.33,5218.0,64,60.01,0.74,384.29,4.42,4.14,0.05
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2023-04-15,15,2023,1.0,55209,69.0,10496.57,339,,64.45,13.12,,135.0,,25.67,,9.86,1.87,,
13,New Brunswick,Nouveau-Brunswick,2023-04-15,15,2023,1.0,90494,102.0,11143.74,877,3,108.0,12.56,0.37,200.0,9,24.63,1.11,14.57,1.79,0.43,0.05
12,Nova Scotia,Nouvelle-Écosse,2023-04-15,15,2023,1.0,142585,198.0,13982.69,839,6,82.28,19.42,0.59,442.0,9,43.35,0.88,28.31,2.78,0.92,0.09
